[21:03:35] === START train_lenet5_mnist on GPU 2 ===
[loaders] mnist: train=54000  val=6000  test=10000
[lenet5/mnist] AMP enabled: True
[lenet5/mnist] ep 1/200  lr=0.001  train_loss=0.4543 train_acc=0.8709  val_loss=0.1613 val_acc=0.9527  (3.6s)
[lenet5/mnist] ep 2/200  lr=0.001  train_loss=0.1106 train_acc=0.9692  val_loss=0.0753 val_acc=0.9768  (2.7s)
[lenet5/mnist] ep 3/200  lr=0.001  train_loss=0.0759 train_acc=0.9790  val_loss=0.0649 val_acc=0.9785  (2.8s)
[lenet5/mnist] ep 4/200  lr=0.001  train_loss=0.0612 train_acc=0.9841  val_loss=0.0520 val_acc=0.9838  (2.9s)
[lenet5/mnist] ep 5/200  lr=0.001  train_loss=0.0510 train_acc=0.9866  val_loss=0.0479 val_acc=0.9843  (2.8s)
[lenet5/mnist] ep 6/200  lr=0.001  train_loss=0.0420 train_acc=0.9893  val_loss=0.0423 val_acc=0.9862  (2.7s)
[lenet5/mnist] ep 7/200  lr=0.001  train_loss=0.0355 train_acc=0.9912  val_loss=0.0452 val_acc=0.9863  (2.7s)
[lenet5/mnist] ep 8/200  lr=0.001  train_loss=0.0305 train_acc=0.9926  val_loss=0.0438 val_acc=0.9865  (2.7s)
[lenet5/mnist] ep 9/200  lr=0.001  train_loss=0.0282 train_acc=0.9938  val_loss=0.0437 val_acc=0.9877  (2.7s)
[lenet5/mnist] ep 10/200  lr=0.001  train_loss=0.0250 train_acc=0.9945  val_loss=0.0505 val_acc=0.9845  (2.9s)
[lenet5/mnist] ep 11/200  lr=0.001  train_loss=0.0208 train_acc=0.9952  val_loss=0.0389 val_acc=0.9883  (3.0s)
[lenet5/mnist] ep 12/200  lr=0.001  train_loss=0.0193 train_acc=0.9963  val_loss=0.0426 val_acc=0.9878  (2.7s)
[lenet5/mnist] ep 13/200  lr=0.001  train_loss=0.0163 train_acc=0.9973  val_loss=0.0358 val_acc=0.9888  (3.0s)
[lenet5/mnist] ep 14/200  lr=0.001  train_loss=0.0141 train_acc=0.9977  val_loss=0.0472 val_acc=0.9880  (3.0s)
[lenet5/mnist] ep 15/200  lr=0.001  train_loss=0.0136 train_acc=0.9977  val_loss=0.0460 val_acc=0.9865  (2.7s)
[lenet5/mnist] ep 16/200  lr=0.001  train_loss=0.0128 train_acc=0.9978  val_loss=0.0390 val_acc=0.9877  (2.7s)
[lenet5/mnist] ep 17/200  lr=0.001  train_loss=0.0101 train_acc=0.9984  val_loss=0.0349 val_acc=0.9910  (2.8s)
[lenet5/mnist] ep 18/200  lr=0.001  train_loss=0.0095 train_acc=0.9986  val_loss=0.0411 val_acc=0.9892  (2.7s)
[lenet5/mnist] ep 19/200  lr=0.001  train_loss=0.0096 train_acc=0.9986  val_loss=0.0561 val_acc=0.9832  (2.9s)
[lenet5/mnist] ep 20/200  lr=0.001  train_loss=0.0083 train_acc=0.9989  val_loss=0.0426 val_acc=0.9892  (2.7s)
[lenet5/mnist] ep 21/200  lr=0.001  train_loss=0.0102 train_acc=0.9988  val_loss=0.0423 val_acc=0.9900  (2.7s)
[lenet5/mnist] ep 22/200  lr=0.001  train_loss=0.0077 train_acc=0.9991  val_loss=0.0453 val_acc=0.9895  (2.7s)
[lenet5/mnist] ep 23/200  lr=0.001  train_loss=0.0051 train_acc=0.9996  val_loss=0.0438 val_acc=0.9897  (2.7s)
[lenet5/mnist] ep 24/200  lr=0.001  train_loss=0.0070 train_acc=0.9993  val_loss=0.0507 val_acc=0.9885  (2.8s)
[lenet5/mnist] ep 25/200  lr=0.001  train_loss=0.0065 train_acc=0.9994  val_loss=0.0510 val_acc=0.9897  (2.7s)
