sample_idx,loss,is_noisy
0,0.504169,1
1,9.225366,0
2,0.056269,1
3,0.088448,0
4,9.064288,0
5,0.222444,1
6,1.933006,1
7,9.601855,1
8,0.221984,1
9,8.028009,0
10,9.043462,0
11,1.954267,0
12,0.097739,0
13,0.979264,0
14,10.000156,0
15,0.740295,0
16,2.487478,1
17,0.273601,1
18,8.574117,0
19,0.089456,1
20,0.237809,1
21,8.654133,0
22,0.549399,1
23,10.111029,0
24,11.101505,0
25,9.544458,0
26,10.831314,1
27,0.669377,1
28,4.261634,1
29,9.673512,0
30,9.212457,0
31,0.75043,0
32,7.809586,1
33,9.61178,1
34,10.381698,0
35,0.166224,1
36,2.740157,0
37,9.752728,1
38,0.05641,1
39,9.857881,1
40,10.684319,0
41,10.250092,0
42,9.595467,0
43,9.264648,0
44,0.357233,0
45,9.83185,0
46,1.882293,0
47,0.210841,1
48,4.85368,1
49,0.112265,0
50,2.314875,0
51,0.668404,0
52,0.29622,1
53,0.204435,1
54,0.472508,1
55,0.391435,1
56,9.226662,1
57,1.965677,0
58,0.543998,1
59,0.312943,0
60,9.661209,0
61,9.768153,0
62,9.19059,0
63,0.19898,1
64,2.798664,1
65,9.028448,1
66,9.131503,0
67,0.086938,0
68,3.294112,1
69,8.528872,1
70,2.7487,1
71,0.05698,1
72,0.13257,0
73,9.962273,0
74,10.246486,1
75,3.576304,0
76,0.178339,1
77,0.064799,1
78,8.822198,0
79,0.617531,0
80,0.104528,1
81,0.066689,1
82,10.71738,1
83,0.090444,1
84,0.101038,1
85,5.18022,1
86,0.892804,0
87,0.129559,0
88,0.884732,1
89,9.7815,1
90,1.225403,0
91,1.749329,0
92,8.834411,1
93,0.270771,1
94,9.520406,0
95,0.285676,0
96,1.078824,1
97,0.079194,1
98,9.109654,1
99,8.913433,0
100,9.082271,0
101,0.441696,1
102,11.436243,1
103,0.53933,1
104,9.008831,1
105,9.50342,0
106,9.619987,1
107,0.100245,1
108,0.157505,0
109,2.10655,0
110,1.686263,0
111,9.153419,0
112,0.236797,1
113,0.493333,1
114,0.242556,0
115,0.42443,1
116,0.142792,1
117,1.419395,1
118,0.326563,1
119,0.149977,1
120,1.447425,1
121,0.53121,0
122,0.067958,1
123,3.749334,0
124,0.503649,1
125,9.185613,0
126,0.156874,1
127,9.552768,0
128,0.143348,0
129,0.089483,1
130,0.52714,0
131,9.317726,0
132,8.925686,1
133,3.520369,0
134,11.30537,0
135,9.83649,1
136,0.400248,0
137,0.20403,0
138,10.336187,0
139,10.148993,0
140,0.069697,0
141,9.633719,0
142,9.820229,1
143,0.276515,0
144,0.4457,0
145,3.792083,1
146,0.13513,1
147,0.130854,1
148,0.340044,0
149,0.500903,0
150,8.665329,1
151,2.000958,0
152,3.086006,0
153,10.062496,0
154,11.419121,0
155,0.05895,1
156,0.096833,1
157,10.597964,1
158,0.178768,0
159,2.577589,1
160,0.238941,0
161,0.607181,0
162,10.380321,0
163,0.135058,0
164,0.507373,0
165,0.193214,1
166,0.134978,0
167,1.71494,0
168,10.030764,0
169,10.729586,0
170,10.858391,0
171,9.492745,0
172,0.924387,1
173,0.220894,1
174,1.062672,1
175,9.35589,0
176,1.041004,1
177,0.216293,0
178,0.258151,0
179,1.556396,1
180,4.137343,1
181,1.515549,1
182,10.635603,1
183,10.824286,0
184,10.844065,0
185,8.628563,1
186,0.393117,0
187,0.097172,1
188,0.472071,0
189,9.237675,1
190,0.132811,0
191,0.130832,0
192,0.048983,1
193,0.226626,1
194,2.303192,0
195,9.749986,0
196,0.698835,1
197,3.293953,1
198,10.78239,0
199,9.795018,0
200,0.204952,0
201,0.228239,1
202,7.803944,0
203,1.848222,0
204,1.973552,0
205,10.443068,0
206,9.992769,0
207,0.569858,0
208,0.350309,0
209,9.333809,0
210,9.327268,0
211,0.245137,0
212,10.064665,0
213,9.551673,0
214,8.442441,0
215,3.707414,1
216,3.406349,1
217,9.372956,0
218,9.369412,0
219,0.120426,0
220,2.147076,0
221,0.157238,1
222,0.186481,1
223,9.387487,0
224,0.131534,1
225,9.44137,0
226,10.941391,0
227,0.050811,1
228,10.098835,1
229,2.7958,1
230,9.152883,1
231,0.142924,1
232,0.457769,1
233,0.892112,1
234,0.89701,0
235,0.12607,1
236,0.366874,0
237,9.425476,0
238,0.06923,1
239,0.165396,1
240,0.122009,1
241,8.467724,0
242,0.154518,1
243,9.464825,0
244,9.518954,0
245,0.813904,0
246,9.197603,1
247,3.640485,1
248,0.523688,1
249,2.744274,1
250,0.060548,1
251,1.173537,0
252,0.812958,1
253,0.234416,0
254,3.852678,1
255,2.258573,0
256,2.506898,0
257,0.400022,1
258,0.14695,0
259,9.554993,0
260,1.252009,0
261,9.151667,0
262,3.201777,1
263,8.988766,0
264,1.350246,0
265,0.22603,1
266,8.692473,0
267,0.095515,1
268,8.834827,1
269,0.115209,1
270,0.080325,0
271,0.176078,1
272,9.77345,0
273,0.199411,0
274,0.216377,1
275,0.181092,1
276,0.186114,0
277,0.069438,1
278,9.335235,0
279,0.381849,1
280,9.258412,1
281,10.446961,0
282,0.688618,0
283,0.065489,1
284,9.631257,0
285,9.314857,1
286,0.440624,1
287,0.130056,1
288,9.512164,0
289,10.852901,1
290,11.630323,1
291,4.14909,1
292,9.495169,1
293,0.161926,0
294,10.411183,0
295,0.17798,1
296,0.09286,1
297,8.751582,1
298,0.137707,1
299,3.156015,0
300,0.129748,1
301,1.567601,1
302,10.619359,1
303,0.409527,1
304,0.131027,0
305,3.106275,0
306,2.180565,0
307,0.546674,0
308,9.044046,1
309,0.170046,1
310,0.072195,1
311,11.210941,0
312,0.132929,0
313,1.52154,0
314,0.695856,1
315,0.152083,0
316,9.161268,0
317,8.484176,0
318,0.693408,0
319,8.152695,0
320,1.497502,0
321,9.926704,0
322,0.068013,1
323,0.256675,0
324,9.183867,0
325,9.260027,0
326,1.486494,1
327,1.606699,1
328,0.784021,0
329,10.211882,0
330,10.55541,0
331,0.63272,0
332,9.664897,1
333,0.595736,0
334,10.968274,0
335,0.099746,1
336,0.242795,0
337,3.646995,1
338,10.933554,0
339,0.981122,0
340,0.784648,0
341,9.949357,0
342,9.533956,0
343,0.436262,0
344,9.610291,0
345,3.338329,0
346,8.620448,0
347,0.175018,0
348,8.192753,0
349,0.338983,0
350,4.581041,1
351,10.59357,0
352,2.093087,0
353,0.117769,1
354,0.064544,1
355,0.370348,0
356,9.057215,0
357,9.762882,0
358,10.444174,0
359,0.062672,1
360,10.345351,0
361,0.105441,1
362,9.952896,0
363,8.963506,0
364,9.061183,0
365,9.876662,0
366,0.052862,0
367,3.342368,1
368,9.227081,1
369,0.273589,1
370,0.113012,1
371,10.640252,1
372,0.232081,0
373,2.061639,1
374,0.289148,1
375,0.167,1
376,2.078337,1
377,1.083406,0
378,2.359718,1
379,0.145927,1
380,2.208805,1
381,10.275938,0
382,11.537165,0
383,8.852792,0
384,2.300145,1
385,10.02019,0
386,9.942245,0
387,8.97908,0
388,0.231354,1
389,10.50209,1
390,9.210011,1
391,0.105713,1
392,0.593705,0
393,0.081902,1
394,9.41923,1
395,0.091958,0
396,10.759015,1
397,0.1764,1
398,10.038506,0
399,1.995789,0
400,2.720157,0
401,0.551486,1
402,2.571148,0
403,9.597754,0
404,0.697482,1
405,1.709678,1
406,0.940402,1
407,9.37534,0
408,0.18463,1
409,1.011055,1
410,0.209058,0
411,1.367222,1
412,10.498369,0
413,8.623613,0
414,9.859075,0
415,9.158941,0
416,2.718101,0
417,0.140494,1
418,8.926569,0
419,1.562078,1
420,8.435179,0
421,0.207219,1
422,9.50882,0
423,0.108033,1
424,3.086981,1
425,0.196915,1
