condition=ours_v2_noisy__glass_blur_sev3 seed=1 gpu=2
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=noisy  N_train=22500  noise_rate=64.68%
  ep   0: acc1=19.80%  acc2=17.87%  ens=18.84%  (best 18.84 @ ep 0)  [8.5s]
  ep   1: acc1=24.42%  acc2=24.67%  ens=24.55%  (best 24.55 @ ep 1)  [7.3s]
  ep   2: acc1=26.91%  acc2=24.33%  ens=25.62%  (best 25.62 @ ep 2)  [7.8s]
  ep   3: acc1=27.73%  acc2=26.66%  ens=27.20%  (best 27.20 @ ep 3)  [10.0s]
  ep   4: acc1=27.73%  acc2=28.05%  ens=27.89%  (best 27.89 @ ep 4)  [27.0s]
  ep   5: acc1=31.29%  acc2=26.00%  ens=28.64%  (best 28.64 @ ep 5)  [19.0s]  [w on clean=0.764, on noisy=0.718]
  ep   6: acc1=29.25%  acc2=27.68%  ens=28.46%  (best 28.64 @ ep 5)  [7.5s]
  ep   7: acc1=25.16%  acc2=29.48%  ens=27.32%  (best 28.64 @ ep 5)  [7.7s]
  ep   8: acc1=30.74%  acc2=32.09%  ens=31.42%  (best 31.42 @ ep 8)  [7.5s]
  ep   9: acc1=33.06%  acc2=30.18%  ens=31.62%  (best 31.62 @ ep 9)  [7.4s]
  ep  10: acc1=17.00%  acc2=10.00%  ens=13.50%  (best 31.62 @ ep 9)  [56.8s]  [w on clean=0.317, on noisy=0.479]
  ep  11: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [25.6s]
  ep  12: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.6s]
  ep  13: acc1=10.00%  acc2=13.85%  ens=11.93%  (best 31.62 @ ep 9)  [33.8s]
  ep  14: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [31.7s]
  ep  15: acc1=10.00%  acc2=10.53%  ens=10.27%  (best 31.62 @ ep 9)  [31.7s]
  ep  16: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [107.8s]
  ep  17: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [29.9s]
  ep  18: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.5s]
  ep  19: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [42.5s]
  ep  20: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [32.3s]  [w on clean=0.225, on noisy=0.497]
  ep  21: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.4s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [42.7s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.8s]
  ep  24: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.4s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [57.9s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.4s]
  ep  27: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.2s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [101.3s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [21.6s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [25.9s]  [w on clean=0.225, on noisy=0.497]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [24.9s]
  ep  32: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.1s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [26.6s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [28.5s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.8s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [24.0s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [30.6s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [21.7s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.0s]
  ep  40: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [34.0s]
  ep  41: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.3s]
  ep  42: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.7s]
  ep  43: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.9s]
  ep  44: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.7s]
  ep  45: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [47.5s]
  ep  46: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [45.8s]
  ep  47: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.0s]
  ep  48: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.2s]
  ep  49: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [58.3s]
  ep  50: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [26.6s]  [w on clean=0.225, on noisy=0.497]
  ep  51: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [30.6s]
  ep  52: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [24.5s]
  ep  53: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.5s]
  ep  54: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [58.8s]
  ep  55: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.3s]
  ep  56: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  57: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [39.7s]
  ep  58: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.5s]
  ep  59: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [21.4s]
  ep  60: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [54.8s]
  ep  61: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.9s]
  ep  62: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.4s]
  ep  63: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [67.2s]
  ep  64: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  65: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.1s]
  ep  66: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [31.1s]
  ep  67: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [24.1s]
  ep  68: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [28.5s]
  ep  69: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [138.2s]
  ep  70: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  71: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [25.0s]
  ep  72: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [133.9s]
  ep  73: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [35.7s]
  ep  74: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  75: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [33.5s]  [w on clean=0.225, on noisy=0.497]
  ep  76: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [28.4s]
  ep  77: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.4s]
  ep  78: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [25.6s]
  ep  79: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.0s]
  ep  80: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.1s]
  ep  81: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [29.6s]
  ep  82: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.3s]
  ep  83: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [24.7s]
  ep  84: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [52.1s]
  ep  85: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  86: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.4s]
  ep  87: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [36.9s]
  ep  88: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.1s]
  ep  89: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [26.1s]
  ep  90: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [81.3s]
  ep  91: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.6s]
  ep  92: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.5s]
  ep  93: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [155.4s]
  ep  94: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.3s]
  ep  95: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.1s]
  ep  96: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [27.6s]
  ep  97: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [23.0s]
  ep  98: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [22.6s]
  ep  99: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.62 @ ep 9)  [64.9s]  [w on clean=0.225, on noisy=0.497]

saved /path/to/ciln-workspace/journal_edition/robustness_transfer/results_v4/dividemix/ours_v2_noisy__glass_blur_sev3__seed1.json: best ens-acc 31.62% @ ep 9
