condition=ours_v2_clean__glass_blur_sev3 seed=0 gpu=1
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=clean  N_train=22500  noise_rate=64.68%
  ep   0: acc1=18.05%  acc2=21.30%  ens=19.67%  (best 19.67 @ ep 0)  [8.7s]
  ep   1: acc1=26.15%  acc2=20.99%  ens=23.57%  (best 23.57 @ ep 1)  [11.1s]
  ep   2: acc1=22.00%  acc2=25.95%  ens=23.98%  (best 23.98 @ ep 2)  [7.6s]
  ep   3: acc1=31.52%  acc2=25.30%  ens=28.41%  (best 28.41 @ ep 3)  [7.3s]
  ep   4: acc1=25.79%  acc2=29.44%  ens=27.62%  (best 28.41 @ ep 3)  [7.5s]
  ep   5: acc1=30.09%  acc2=24.85%  ens=27.47%  (best 28.41 @ ep 3)  [11.7s]  [w on clean=0.789, on noisy=0.722]
  ep   6: acc1=26.30%  acc2=29.14%  ens=27.72%  (best 28.41 @ ep 3)  [7.8s]
  ep   7: acc1=30.92%  acc2=28.09%  ens=29.50%  (best 29.50 @ ep 7)  [7.9s]
  ep   8: acc1=33.22%  acc2=22.89%  ens=28.05%  (best 29.50 @ ep 7)  [12.4s]
  ep   9: acc1=28.46%  acc2=30.03%  ens=29.24%  (best 29.50 @ ep 7)  [15.3s]
  ep  10: acc1=15.21%  acc2=10.34%  ens=12.78%  (best 29.50 @ ep 7)  [45.4s]  [w on clean=0.553, on noisy=0.628]
  ep  11: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [35.7s]
  ep  12: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [22.9s]
  ep  13: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [26.3s]
  ep  14: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.0s]
  ep  15: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [24.0s]
  ep  16: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [48.9s]
  ep  17: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [24.0s]
  ep  18: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.6s]
  ep  19: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.3s]
  ep  20: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [27.2s]  [w on clean=0.225, on noisy=0.497]
  ep  21: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [36.9s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [22.8s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [22.7s]
  ep  24: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [27.5s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [22.8s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [22.8s]
  ep  27: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [26.1s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [24.1s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [25.3s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [66.3s]  [w on clean=0.225, on noisy=0.497]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.9s]
  ep  32: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [28.0s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.6s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.4s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [93.3s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [158.6s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [23.4s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [24.9s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 29.50 @ ep 7)  [65.4s]
