condition=ours_v2_noisy__glass_blur_sev3 seed=0 gpu=2
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=noisy  N_train=22500  noise_rate=64.68%
  ep   0: acc1=18.23%  acc2=18.50%  ens=18.36%  (best 18.36 @ ep 0)  [8.6s]
  ep   1: acc1=23.35%  acc2=21.84%  ens=22.60%  (best 22.60 @ ep 1)  [7.3s]
  ep   2: acc1=24.47%  acc2=25.28%  ens=24.88%  (best 24.88 @ ep 2)  [7.1s]
  ep   3: acc1=30.12%  acc2=25.57%  ens=27.84%  (best 27.84 @ ep 3)  [12.1s]
  ep   4: acc1=27.23%  acc2=29.25%  ens=28.24%  (best 28.24 @ ep 4)  [7.2s]
  ep   5: acc1=28.70%  acc2=25.50%  ens=27.10%  (best 28.24 @ ep 4)  [11.1s]  [w on clean=0.706, on noisy=0.694]
  ep   6: acc1=29.44%  acc2=30.60%  ens=30.02%  (best 30.02 @ ep 6)  [7.3s]
  ep   7: acc1=31.03%  acc2=28.20%  ens=29.62%  (best 30.02 @ ep 6)  [7.4s]
  ep   8: acc1=34.71%  acc2=27.07%  ens=30.89%  (best 30.89 @ ep 8)  [7.4s]
  ep   9: acc1=31.87%  acc2=35.31%  ens=33.59%  (best 33.59 @ ep 9)  [7.6s]
  ep  10: acc1=25.59%  acc2=17.10%  ens=21.35%  (best 33.59 @ ep 9)  [50.3s]  [w on clean=0.695, on noisy=0.737]
  ep  11: acc1=11.48%  acc2=10.10%  ens=10.79%  (best 33.59 @ ep 9)  [30.9s]
  ep  12: acc1=10.00%  acc2=10.07%  ens=10.04%  (best 33.59 @ ep 9)  [25.3s]
  ep  13: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.6s]
  ep  14: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [33.1s]
  ep  15: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [71.0s]
  ep  16: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.0s]
  ep  17: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.1s]
  ep  18: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [48.5s]
  ep  19: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.3s]
  ep  20: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [31.9s]  [w on clean=0.225, on noisy=0.497]
  ep  21: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [34.9s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.8s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [40.9s]
  ep  24: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [30.7s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.4s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [28.3s]
  ep  27: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [131.5s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.8s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.0s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [89.1s]  [w on clean=0.225, on noisy=0.497]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.7s]
  ep  32: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.3s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [94.9s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [55.2s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [21.9s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.3s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [101.1s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [23.5s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 33.59 @ ep 9)  [22.7s]
