# 2026-07-20T16:07:53.926714 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev5 --variant S --image-source clean --seed 0 --gpu 1
[AGN CoT] front_truncation_sev5__S__coteaching__clean__seed0  gpu=1
  N=50000  tau=26.38%
  ep   0  R(t)=1.000  a=83.12%  b=81.12%  ens=83.59%  best_ens=83.59%@0
  ep   5  R(t)=0.813  a=84.83%  b=84.57%  ens=85.17%  best_ens=85.50%@3
  ep  10  R(t)=0.736  a=84.05%  b=83.53%  ens=84.26%  best_ens=85.50%@3
  ep  15  R(t)=0.736  a=83.91%  b=83.95%  ens=84.12%  best_ens=85.50%@3
  ep  20  R(t)=0.736  a=83.62%  b=83.71%  ens=84.34%  best_ens=85.50%@3
  ep  25  R(t)=0.736  a=83.72%  b=83.71%  ens=84.13%  best_ens=85.50%@3
  ep  30  R(t)=0.736  a=83.30%  b=83.07%  ens=83.58%  best_ens=85.50%@3
  ep  35  R(t)=0.736  a=83.47%  b=83.33%  ens=83.62%  best_ens=85.50%@3
  ep  40  R(t)=0.736  a=83.12%  b=82.78%  ens=83.33%  best_ens=85.50%@3
  ep  45  R(t)=0.736  a=83.16%  b=83.45%  ens=83.61%  best_ens=85.50%@3
  ep  50  R(t)=0.736  a=83.04%  b=82.83%  ens=83.22%  best_ens=85.50%@3
  ep  55  R(t)=0.736  a=83.04%  b=83.25%  ens=83.36%  best_ens=85.50%@3
  ep  60  R(t)=0.736  a=83.00%  b=83.16%  ens=83.28%  best_ens=85.50%@3
  ep  65  R(t)=0.736  a=82.82%  b=82.95%  ens=83.33%  best_ens=85.50%@3
  ep  70  R(t)=0.736  a=83.03%  b=83.09%  ens=83.26%  best_ens=85.50%@3
  ep  75  R(t)=0.736  a=83.07%  b=82.95%  ens=83.11%  best_ens=85.50%@3
  ep  80  R(t)=0.736  a=82.89%  b=83.08%  ens=83.12%  best_ens=85.50%@3
  ep  85  R(t)=0.736  a=83.08%  b=83.05%  ens=83.08%  best_ens=85.50%@3
  ep  90  R(t)=0.736  a=83.09%  b=82.97%  ens=83.11%  best_ens=85.50%@3
  ep  95  R(t)=0.736  a=83.09%  b=83.03%  ens=83.07%  best_ens=85.50%@3
  ep  99  R(t)=0.736  a=83.12%  b=83.05%  ens=83.07%  best_ens=85.50%@3
  DONE  best_ens=85.50%  saved front_truncation_sev5__S__coteaching__clean__seed0.json + persample.npz

# exit=0
