# 2026-07-19T16:22:30.748996 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev1 --variant S --image-source noisy --seed 2 --gpu 2
[AGN CoT] butter_fingers_sev1__S__coteaching__noisy__seed2  gpu=2
  N=50000  tau=13.09%
  ep   0  R(t)=1.000  a=84.11%  b=84.88%  ens=85.38%  best_ens=85.38%@0
  ep   5  R(t)=0.907  a=88.93%  b=89.00%  ens=89.38%  best_ens=89.38%@5
  ep  10  R(t)=0.869  a=88.75%  b=88.47%  ens=88.86%  best_ens=89.38%@5
  ep  15  R(t)=0.869  a=88.50%  b=88.22%  ens=88.79%  best_ens=89.38%@5
  ep  20  R(t)=0.869  a=88.86%  b=88.66%  ens=88.84%  best_ens=89.38%@5
  ep  25  R(t)=0.869  a=88.89%  b=88.30%  ens=88.93%  best_ens=89.38%@5
  ep  30  R(t)=0.869  a=88.54%  b=88.34%  ens=88.63%  best_ens=89.38%@5
  ep  35  R(t)=0.869  a=88.45%  b=88.22%  ens=88.57%  best_ens=89.38%@5
  ep  40  R(t)=0.869  a=88.30%  b=88.28%  ens=88.61%  best_ens=89.38%@5
  ep  45  R(t)=0.869  a=88.34%  b=88.26%  ens=88.51%  best_ens=89.38%@5
  ep  50  R(t)=0.869  a=88.68%  b=88.20%  ens=88.64%  best_ens=89.38%@5
  ep  55  R(t)=0.869  a=88.66%  b=88.17%  ens=88.67%  best_ens=89.38%@5
  ep  60  R(t)=0.869  a=88.46%  b=88.63%  ens=88.76%  best_ens=89.38%@5
  ep  65  R(t)=0.869  a=88.42%  b=88.37%  ens=88.66%  best_ens=89.38%@5
  ep  70  R(t)=0.869  a=88.32%  b=88.30%  ens=88.47%  best_ens=89.38%@5
  ep  75  R(t)=0.869  a=88.41%  b=88.24%  ens=88.38%  best_ens=89.38%@5
  ep  80  R(t)=0.869  a=88.38%  b=88.18%  ens=88.47%  best_ens=89.38%@5
  ep  85  R(t)=0.869  a=88.50%  b=88.18%  ens=88.49%  best_ens=89.38%@5
  ep  90  R(t)=0.869  a=88.53%  b=88.38%  ens=88.38%  best_ens=89.38%@5
  ep  95  R(t)=0.869  a=88.49%  b=88.32%  ens=88.47%  best_ens=89.38%@5
  ep  99  R(t)=0.869  a=88.53%  b=88.38%  ens=88.49%  best_ens=89.38%@5
  DONE  best_ens=89.38%  saved butter_fingers_sev1__S__coteaching__noisy__seed2.json + persample.npz

# exit=0
