# 2026-07-20T09:33:38.417860 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev1 --variant C --image-source noisy --seed 1 --gpu 1
[AGN CoT] front_truncation_sev1__C__coteaching__noisy__seed1  gpu=1
  N=35066  tau=2.48%
  ep   0  R(t)=1.000  a=83.87%  b=83.97%  ens=85.08%  best_ens=85.08%@0
  ep   5  R(t)=0.982  a=86.66%  b=87.08%  ens=87.13%  best_ens=87.46%@4
  ep  10  R(t)=0.975  a=86.83%  b=87.32%  ens=87.54%  best_ens=87.62%@9
  ep  15  R(t)=0.975  a=86.97%  b=86.49%  ens=87.32%  best_ens=87.82%@13
  ep  20  R(t)=0.975  a=87.17%  b=87.54%  ens=88.07%  best_ens=88.07%@20
  ep  25  R(t)=0.975  a=87.32%  b=87.16%  ens=87.84%  best_ens=88.07%@20
  ep  30  R(t)=0.975  a=87.09%  b=86.82%  ens=87.55%  best_ens=88.07%@20
  ep  35  R(t)=0.975  a=86.58%  b=86.91%  ens=87.09%  best_ens=88.07%@20
  ep  40  R(t)=0.975  a=87.41%  b=87.08%  ens=87.64%  best_ens=88.07%@20
  ep  45  R(t)=0.975  a=87.04%  b=87.26%  ens=87.59%  best_ens=88.07%@20
  ep  50  R(t)=0.975  a=87.11%  b=87.21%  ens=87.67%  best_ens=88.07%@20
  ep  55  R(t)=0.975  a=87.26%  b=87.43%  ens=87.82%  best_ens=88.07%@20
  ep  60  R(t)=0.975  a=87.05%  b=86.96%  ens=87.24%  best_ens=88.07%@20
  ep  65  R(t)=0.975  a=87.04%  b=87.20%  ens=87.57%  best_ens=88.07%@20
  ep  70  R(t)=0.975  a=87.12%  b=87.04%  ens=87.26%  best_ens=88.07%@20
  ep  75  R(t)=0.975  a=87.01%  b=87.11%  ens=87.36%  best_ens=88.07%@20
  ep  80  R(t)=0.975  a=87.24%  b=87.32%  ens=87.32%  best_ens=88.07%@20
  ep  85  R(t)=0.975  a=87.08%  b=87.26%  ens=87.24%  best_ens=88.07%@20
  ep  90  R(t)=0.975  a=87.18%  b=87.21%  ens=87.36%  best_ens=88.07%@20
  ep  95  R(t)=0.975  a=87.17%  b=87.21%  ens=87.30%  best_ens=88.07%@20
  ep  99  R(t)=0.975  a=87.13%  b=87.25%  ens=87.28%  best_ens=88.07%@20
  DONE  best_ens=88.07%  saved front_truncation_sev1__C__coteaching__noisy__seed1.json + persample.npz

# exit=0
