# 2026-07-20T06:27:48.825215 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev1 --variant S --image-source noisy --seed 0 --gpu 2
[AGN CoT] front_truncation_sev1__S__coteaching__noisy__seed0  gpu=2
  N=50000  tau=13.13%
  ep   0  R(t)=1.000  a=85.50%  b=85.87%  ens=86.49%  best_ens=86.49%@0
  ep   5  R(t)=0.907  a=88.61%  b=88.68%  ens=89.01%  best_ens=89.01%@5
  ep  10  R(t)=0.869  a=88.34%  b=88.49%  ens=88.50%  best_ens=89.01%@5
  ep  15  R(t)=0.869  a=88.51%  b=88.32%  ens=88.87%  best_ens=89.01%@5
  ep  20  R(t)=0.869  a=88.20%  b=88.07%  ens=88.50%  best_ens=89.01%@5
  ep  25  R(t)=0.869  a=88.29%  b=88.16%  ens=88.33%  best_ens=89.01%@5
  ep  30  R(t)=0.869  a=88.29%  b=88.46%  ens=88.63%  best_ens=89.01%@5
  ep  35  R(t)=0.869  a=88.37%  b=88.30%  ens=88.58%  best_ens=89.01%@5
  ep  40  R(t)=0.869  a=88.05%  b=88.18%  ens=88.43%  best_ens=89.01%@5
  ep  45  R(t)=0.869  a=88.09%  b=87.92%  ens=88.29%  best_ens=89.01%@5
  ep  50  R(t)=0.869  a=88.36%  b=88.05%  ens=88.55%  best_ens=89.01%@5
  ep  55  R(t)=0.869  a=88.22%  b=87.97%  ens=88.42%  best_ens=89.01%@5
  ep  60  R(t)=0.869  a=88.33%  b=88.03%  ens=88.47%  best_ens=89.01%@5
  ep  65  R(t)=0.869  a=88.16%  b=88.09%  ens=88.26%  best_ens=89.01%@5
  ep  70  R(t)=0.869  a=88.61%  b=88.25%  ens=88.64%  best_ens=89.01%@5
  ep  75  R(t)=0.869  a=88.33%  b=88.28%  ens=88.46%  best_ens=89.01%@5
  ep  80  R(t)=0.869  a=88.37%  b=88.26%  ens=88.67%  best_ens=89.01%@5
  ep  85  R(t)=0.869  a=88.46%  b=88.20%  ens=88.49%  best_ens=89.01%@5
  ep  90  R(t)=0.869  a=88.41%  b=88.26%  ens=88.45%  best_ens=89.01%@5
  ep  95  R(t)=0.869  a=88.34%  b=88.26%  ens=88.39%  best_ens=89.01%@5
  ep  99  R(t)=0.869  a=88.32%  b=88.28%  ens=88.39%  best_ens=89.01%@5
  DONE  best_ens=89.01%  saved front_truncation_sev1__S__coteaching__noisy__seed0.json + persample.npz

# exit=0
