# 2026-07-19T18:38:43.935828 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev1 --variant C --image-source noisy --seed 2 --gpu 2
[AGN CoT] butter_fingers_sev1__C__coteaching__noisy__seed2  gpu=2
  N=35066  tau=3.16%
  ep   0  R(t)=1.000  a=83.68%  b=82.33%  ens=83.79%  best_ens=83.79%@0
  ep   5  R(t)=0.978  a=86.99%  b=87.57%  ens=87.78%  best_ens=87.78%@5
  ep  10  R(t)=0.968  a=87.49%  b=87.36%  ens=87.87%  best_ens=87.87%@10
  ep  15  R(t)=0.968  a=87.03%  b=86.99%  ens=87.36%  best_ens=87.87%@10
  ep  20  R(t)=0.968  a=87.13%  b=87.03%  ens=87.49%  best_ens=87.87%@10
  ep  25  R(t)=0.968  a=87.11%  b=86.92%  ens=87.53%  best_ens=87.87%@10
  ep  30  R(t)=0.968  a=86.82%  b=86.53%  ens=86.92%  best_ens=87.87%@10
  ep  35  R(t)=0.968  a=87.25%  b=87.16%  ens=87.58%  best_ens=87.87%@10
  ep  40  R(t)=0.968  a=86.91%  b=87.00%  ens=87.39%  best_ens=87.87%@10
  ep  45  R(t)=0.968  a=87.20%  b=86.96%  ens=87.26%  best_ens=87.87%@10
  ep  50  R(t)=0.968  a=87.14%  b=86.74%  ens=87.03%  best_ens=87.87%@10
  ep  55  R(t)=0.968  a=87.04%  b=87.08%  ens=87.46%  best_ens=87.87%@10
  ep  60  R(t)=0.968  a=87.17%  b=87.18%  ens=87.29%  best_ens=87.87%@10
  ep  65  R(t)=0.968  a=87.16%  b=87.01%  ens=87.30%  best_ens=87.87%@10
  ep  70  R(t)=0.968  a=87.16%  b=86.86%  ens=87.21%  best_ens=87.87%@10
  ep  75  R(t)=0.968  a=87.47%  b=87.21%  ens=87.51%  best_ens=87.87%@10
  ep  80  R(t)=0.968  a=87.16%  b=86.99%  ens=87.20%  best_ens=87.87%@10
  ep  85  R(t)=0.968  a=87.24%  b=86.99%  ens=87.24%  best_ens=87.87%@10
  ep  90  R(t)=0.968  a=87.09%  b=87.04%  ens=87.17%  best_ens=87.87%@10
  ep  95  R(t)=0.968  a=87.14%  b=86.99%  ens=87.17%  best_ens=87.87%@10
  ep  99  R(t)=0.968  a=87.16%  b=87.01%  ens=87.20%  best_ens=87.87%@10
  DONE  best_ens=87.87%  saved butter_fingers_sev1__C__coteaching__noisy__seed2.json + persample.npz

# exit=0
