# 2026-07-19T22:35:09.753636 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev3 --variant C --image-source clean --seed 1 --gpu 2
[AGN CoT] butter_fingers_sev3__C__coteaching__clean__seed1  gpu=2
  N=35066  tau=13.05%
  ep   0  R(t)=1.000  a=82.64%  b=83.09%  ens=83.41%  best_ens=83.41%@0
  ep   5  R(t)=0.908  a=85.57%  b=85.71%  ens=86.12%  best_ens=86.18%@4
  ep  10  R(t)=0.869  a=84.55%  b=84.37%  ens=85.11%  best_ens=86.45%@6
  ep  15  R(t)=0.869  a=84.43%  b=84.08%  ens=85.01%  best_ens=86.45%@6
  ep  20  R(t)=0.869  a=82.92%  b=82.97%  ens=83.50%  best_ens=86.45%@6
  ep  25  R(t)=0.869  a=83.39%  b=83.80%  ens=84.26%  best_ens=86.45%@6
  ep  30  R(t)=0.869  a=83.62%  b=83.54%  ens=83.96%  best_ens=86.45%@6
  ep  35  R(t)=0.869  a=83.92%  b=83.72%  ens=84.38%  best_ens=86.45%@6
  ep  40  R(t)=0.869  a=83.37%  b=82.91%  ens=83.86%  best_ens=86.45%@6
  ep  45  R(t)=0.869  a=83.75%  b=83.47%  ens=84.14%  best_ens=86.45%@6
  ep  50  R(t)=0.869  a=83.29%  b=83.17%  ens=83.59%  best_ens=86.45%@6
  ep  55  R(t)=0.869  a=83.68%  b=83.20%  ens=84.21%  best_ens=86.45%@6
  ep  60  R(t)=0.869  a=83.38%  b=83.13%  ens=83.70%  best_ens=86.45%@6
  ep  65  R(t)=0.869  a=83.17%  b=83.22%  ens=84.00%  best_ens=86.45%@6
  ep  70  R(t)=0.869  a=83.51%  b=83.29%  ens=83.72%  best_ens=86.45%@6
  ep  75  R(t)=0.869  a=83.50%  b=83.30%  ens=83.86%  best_ens=86.45%@6
  ep  80  R(t)=0.869  a=83.41%  b=83.62%  ens=84.08%  best_ens=86.45%@6
  ep  85  R(t)=0.869  a=83.71%  b=83.37%  ens=84.13%  best_ens=86.45%@6
  ep  90  R(t)=0.869  a=83.55%  b=83.47%  ens=84.04%  best_ens=86.45%@6
  ep  95  R(t)=0.869  a=83.54%  b=83.34%  ens=83.95%  best_ens=86.45%@6
  ep  99  R(t)=0.869  a=83.55%  b=83.42%  ens=83.96%  best_ens=86.45%@6
  DONE  best_ens=86.45%  saved butter_fingers_sev3__C__coteaching__clean__seed1.json + persample.npz

# exit=0
