# 2026-07-16T15:44:59.609732 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant C --image-source noisy --seed 2 --gpu 1
[MNIST CoT] impulse_noise_sev5__C__coteaching__noisy__seed2  gpu=1
  N=26107  tau=47.71%
  ep   0  R(t)=1.000  a=64.84%  b=67.50%  ens=67.13%  best_ens=67.13%@0
  ep   5  R(t)=0.663  a=88.10%  b=88.09%  ens=88.18%  best_ens=89.79%@4
  ep  10  R(t)=0.523  a=78.73%  b=75.78%  ens=77.37%  best_ens=89.79%@4
  ep  15  R(t)=0.523  a=76.25%  b=75.46%  ens=75.97%  best_ens=89.79%@4
  ep  20  R(t)=0.523  a=76.14%  b=76.96%  ens=76.73%  best_ens=89.79%@4
  ep  25  R(t)=0.523  a=78.97%  b=79.02%  ens=79.24%  best_ens=89.79%@4
  ep  30  R(t)=0.523  a=79.94%  b=78.63%  ens=79.35%  best_ens=89.79%@4
  ep  35  R(t)=0.523  a=79.81%  b=78.16%  ens=79.00%  best_ens=89.79%@4
  ep  40  R(t)=0.523  a=79.08%  b=79.50%  ens=79.40%  best_ens=89.79%@4
  ep  45  R(t)=0.523  a=77.73%  b=77.54%  ens=77.73%  best_ens=89.79%@4
  ep  50  R(t)=0.523  a=77.80%  b=77.80%  ens=77.96%  best_ens=89.79%@4
  ep  55  R(t)=0.523  a=79.76%  b=79.79%  ens=79.98%  best_ens=89.79%@4
  ep  60  R(t)=0.523  a=79.78%  b=79.39%  ens=79.56%  best_ens=89.79%@4
  ep  65  R(t)=0.523  a=78.16%  b=76.95%  ens=77.57%  best_ens=89.79%@4
  ep  70  R(t)=0.523  a=79.09%  b=78.79%  ens=79.03%  best_ens=89.79%@4
  ep  75  R(t)=0.523  a=79.44%  b=78.89%  ens=79.20%  best_ens=89.79%@4
  ep  80  R(t)=0.523  a=78.80%  b=77.82%  ens=78.47%  best_ens=89.79%@4
  ep  85  R(t)=0.523  a=78.20%  b=78.14%  ens=78.25%  best_ens=89.79%@4
  ep  90  R(t)=0.523  a=79.20%  b=78.76%  ens=79.01%  best_ens=89.79%@4
  ep  95  R(t)=0.523  a=79.43%  b=79.11%  ens=79.44%  best_ens=89.79%@4
  ep  99  R(t)=0.523  a=79.53%  b=79.10%  ens=79.44%  best_ens=89.79%@4
  DONE  best_ens=89.79%  saved impulse_noise_sev5__C__coteaching__noisy__seed2.json + persample.npz

# exit=0
