# 2026-07-16T17:31:20.442820 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_dividemix.py --setting glass_blur_sev5 --variant C --image-source noisy --seed 2 --gpu 1
[MNIST DM] glass_blur_sev5__C__dividemix__noisy__seed2  gpu=1
  N=26107  sampled_nr=71.33%
  ep   0  a=39.21%  b=32.29%  ens=35.61%  best_ens=35.61%@0  [3.6s]
  ep   5  a=50.82%  b=50.90%  ens=54.06%  best_ens=56.06%@4  [4.0s]
  ep  10  a=53.12%  b=46.23%  ens=50.61%  best_ens=60.13%@9  [5.4s]
  ep  15  a=48.76%  b=50.95%  ens=50.11%  best_ens=60.13%@9  [4.4s]
  ep  20  a=41.80%  b=39.67%  ens=40.99%  best_ens=60.13%@9  [5.4s]
  ep  25  a=40.41%  b=41.47%  ens=42.00%  best_ens=60.13%@9  [4.2s]
  ep  30  a=40.04%  b=42.10%  ens=41.98%  best_ens=60.13%@9  [5.4s]
  ep  35  a=41.06%  b=37.93%  ens=39.78%  best_ens=60.13%@9  [4.3s]
  ep  40  a=41.08%  b=38.98%  ens=40.56%  best_ens=60.13%@9  [4.2s]
  ep  45  a=42.11%  b=37.74%  ens=39.90%  best_ens=60.13%@9  [4.0s]
  ep  50  a=39.98%  b=36.72%  ens=39.17%  best_ens=60.13%@9  [5.4s]
  ep  55  a=40.19%  b=34.86%  ens=38.11%  best_ens=60.13%@9  [4.3s]
  ep  60  a=40.35%  b=35.55%  ens=38.65%  best_ens=60.13%@9  [4.3s]
  ep  65  a=40.92%  b=35.52%  ens=38.68%  best_ens=60.13%@9  [4.6s]
  ep  70  a=40.98%  b=35.49%  ens=38.90%  best_ens=60.13%@9  [4.0s]
  ep  75  a=38.82%  b=34.38%  ens=37.49%  best_ens=60.13%@9  [5.3s]
  ep  80  a=39.47%  b=34.13%  ens=37.64%  best_ens=60.13%@9  [4.4s]
  ep  85  a=38.61%  b=33.95%  ens=36.97%  best_ens=60.13%@9  [4.2s]
  ep  90  a=39.30%  b=34.37%  ens=37.66%  best_ens=60.13%@9  [4.2s]
  ep  95  a=39.36%  b=34.49%  ens=37.56%  best_ens=60.13%@9  [4.4s]
  ep  99  a=39.27%  b=34.53%  ens=37.55%  best_ens=60.13%@9  [5.4s]
  DONE  best_ens=60.13%  saved glass_blur_sev5__C__dividemix__noisy__seed2.json + persample.npz

# exit=0
