# 2026-07-16T20:41:02.311184 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant S --image-source clean --seed 2 --gpu 2
[MNIST CoT] canny_edges_sev1__S__coteaching__clean__seed2  gpu=2
  N=27000  tau=31.87%
  ep   0  R(t)=1.000  a=79.84%  b=81.77%  ens=81.22%  best_ens=81.22%@0
  ep   5  R(t)=0.775  a=74.30%  b=77.30%  ens=75.96%  best_ens=85.37%@2
  ep  10  R(t)=0.681  a=86.68%  b=86.84%  ens=86.84%  best_ens=86.84%@10
  ep  15  R(t)=0.681  a=83.84%  b=82.78%  ens=83.48%  best_ens=89.42%@12
  ep  20  R(t)=0.681  a=85.76%  b=84.38%  ens=85.35%  best_ens=89.42%@12
  ep  25  R(t)=0.681  a=84.77%  b=82.98%  ens=84.01%  best_ens=89.42%@12
  ep  30  R(t)=0.681  a=83.73%  b=83.06%  ens=83.46%  best_ens=89.42%@12
  ep  35  R(t)=0.681  a=79.30%  b=78.55%  ens=79.01%  best_ens=89.42%@12
  ep  40  R(t)=0.681  a=88.61%  b=86.76%  ens=87.84%  best_ens=89.42%@12
  ep  45  R(t)=0.681  a=83.20%  b=84.24%  ens=83.77%  best_ens=89.42%@12
  ep  50  R(t)=0.681  a=83.15%  b=85.04%  ens=84.19%  best_ens=89.42%@12
  ep  55  R(t)=0.681  a=84.08%  b=83.94%  ens=84.22%  best_ens=89.42%@12
  ep  60  R(t)=0.681  a=83.87%  b=84.01%  ens=84.26%  best_ens=89.42%@12
  ep  65  R(t)=0.681  a=82.71%  b=82.85%  ens=82.86%  best_ens=89.42%@12
  ep  70  R(t)=0.681  a=83.43%  b=82.90%  ens=83.29%  best_ens=89.42%@12
  ep  75  R(t)=0.681  a=83.09%  b=82.84%  ens=83.02%  best_ens=89.42%@12
  ep  80  R(t)=0.681  a=84.09%  b=84.16%  ens=84.23%  best_ens=89.42%@12
  ep  85  R(t)=0.681  a=82.48%  b=81.93%  ens=82.25%  best_ens=89.42%@12
  ep  90  R(t)=0.681  a=83.23%  b=83.38%  ens=83.49%  best_ens=89.42%@12
  ep  95  R(t)=0.681  a=83.07%  b=82.79%  ens=83.07%  best_ens=89.42%@12
  ep  99  R(t)=0.681  a=82.96%  b=82.78%  ens=82.91%  best_ens=89.42%@12
  DONE  best_ens=89.42%  saved canny_edges_sev1__S__coteaching__clean__seed2.json + persample.npz

# exit=0
