# 2026-07-16T16:26:00.134281 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting glass_blur_sev5 --variant S --image-source noisy --seed 1 --gpu 2
[MNIST CoT] glass_blur_sev5__S__coteaching__noisy__seed1  gpu=2
  N=27000  tau=71.30%
  ep   0  R(t)=1.000  a=33.69%  b=29.20%  ens=31.40%  best_ens=31.40%@0
  ep   5  R(t)=0.496  a=43.33%  b=44.62%  ens=43.87%  best_ens=45.62%@2
  ep  10  R(t)=0.287  a=38.12%  b=38.85%  ens=38.51%  best_ens=45.62%@2
  ep  15  R(t)=0.287  a=20.44%  b=20.17%  ens=20.36%  best_ens=45.62%@2
  ep  20  R(t)=0.287  a=17.36%  b=17.16%  ens=17.13%  best_ens=45.62%@2
  ep  25  R(t)=0.287  a=20.26%  b=20.32%  ens=20.30%  best_ens=45.62%@2
  ep  30  R(t)=0.287  a=19.38%  b=19.31%  ens=19.36%  best_ens=45.62%@2
  ep  35  R(t)=0.287  a=20.26%  b=20.28%  ens=20.26%  best_ens=45.62%@2
  ep  40  R(t)=0.287  a=20.26%  b=20.31%  ens=20.30%  best_ens=45.62%@2
  ep  45  R(t)=0.287  a=19.10%  b=19.50%  ens=19.34%  best_ens=45.62%@2
  ep  50  R(t)=0.287  a=20.18%  b=19.77%  ens=19.96%  best_ens=45.62%@2
  ep  55  R(t)=0.287  a=19.92%  b=20.11%  ens=20.04%  best_ens=45.62%@2
  ep  60  R(t)=0.287  a=19.93%  b=19.88%  ens=19.93%  best_ens=45.62%@2
  ep  65  R(t)=0.287  a=19.93%  b=19.70%  ens=19.88%  best_ens=45.62%@2
  ep  70  R(t)=0.287  a=19.26%  b=19.22%  ens=19.24%  best_ens=45.62%@2
  ep  75  R(t)=0.287  a=19.72%  b=19.59%  ens=19.65%  best_ens=45.62%@2
  ep  80  R(t)=0.287  a=19.91%  b=20.02%  ens=20.00%  best_ens=45.62%@2
  ep  85  R(t)=0.287  a=19.68%  b=19.63%  ens=19.65%  best_ens=45.62%@2
  ep  90  R(t)=0.287  a=19.69%  b=19.58%  ens=19.63%  best_ens=45.62%@2
  ep  95  R(t)=0.287  a=19.53%  b=19.49%  ens=19.52%  best_ens=45.62%@2
  ep  99  R(t)=0.287  a=19.53%  b=19.49%  ens=19.52%  best_ens=45.62%@2
  DONE  best_ens=45.62%  saved glass_blur_sev5__S__coteaching__noisy__seed1.json + persample.npz

# exit=0
