# 2026-07-16T21:30:21.848351 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant C --image-source noisy --seed 2 --gpu 1
[MNIST CoT] canny_edges_sev1__C__coteaching__noisy__seed2  gpu=1
  N=26107  tau=30.66%
  ep   0  R(t)=1.000  a=73.41%  b=74.46%  ens=75.14%  best_ens=75.14%@0
  ep   5  R(t)=0.783  a=78.40%  b=85.96%  ens=82.82%  best_ens=82.87%@4
  ep  10  R(t)=0.693  a=85.01%  b=88.90%  ens=87.59%  best_ens=89.61%@9
  ep  15  R(t)=0.693  a=86.38%  b=90.47%  ens=88.97%  best_ens=90.16%@11
  ep  20  R(t)=0.693  a=86.79%  b=88.64%  ens=88.03%  best_ens=90.47%@17
  ep  25  R(t)=0.693  a=88.22%  b=89.58%  ens=89.18%  best_ens=90.47%@17
  ep  30  R(t)=0.693  a=89.90%  b=90.47%  ens=90.92%  best_ens=91.36%@27
  ep  35  R(t)=0.693  a=89.04%  b=89.03%  ens=89.40%  best_ens=91.89%@33
  ep  40  R(t)=0.693  a=89.61%  b=90.99%  ens=90.76%  best_ens=91.96%@38
  ep  45  R(t)=0.693  a=86.16%  b=88.31%  ens=87.65%  best_ens=92.68%@42
  ep  50  R(t)=0.693  a=88.25%  b=89.04%  ens=89.04%  best_ens=92.68%@42
  ep  55  R(t)=0.693  a=89.33%  b=90.56%  ens=90.39%  best_ens=92.68%@42
  ep  60  R(t)=0.693  a=89.36%  b=90.11%  ens=90.09%  best_ens=92.68%@42
  ep  65  R(t)=0.693  a=88.92%  b=89.10%  ens=89.35%  best_ens=92.68%@42
  ep  70  R(t)=0.693  a=90.52%  b=91.40%  ens=91.35%  best_ens=92.68%@42
  ep  75  R(t)=0.693  a=89.78%  b=90.86%  ens=90.71%  best_ens=92.68%@42
  ep  80  R(t)=0.693  a=89.83%  b=90.62%  ens=90.54%  best_ens=92.68%@42
  ep  85  R(t)=0.693  a=90.37%  b=90.71%  ens=91.06%  best_ens=92.68%@42
  ep  90  R(t)=0.693  a=89.59%  b=90.17%  ens=90.15%  best_ens=92.68%@42
  ep  95  R(t)=0.693  a=89.82%  b=90.54%  ens=90.53%  best_ens=92.68%@42
  ep  99  R(t)=0.693  a=89.89%  b=90.57%  ens=90.54%  best_ens=92.68%@42
  DONE  best_ens=92.68%  saved canny_edges_sev1__C__coteaching__noisy__seed2.json + persample.npz

# exit=0
