# 2026-07-16T19:19:38.787838 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting fog_sev5 --variant S --image-source noisy --seed 1 --gpu 2
[MNIST CoT] fog_sev5__S__coteaching__noisy__seed1  gpu=2
  N=27000  tau=39.16%
  ep   0  R(t)=1.000  a=80.40%  b=83.58%  ens=82.81%  best_ens=82.81%@0
  ep   5  R(t)=0.723  a=90.63%  b=91.84%  ens=91.34%  best_ens=91.34%@5
  ep  10  R(t)=0.608  a=93.92%  b=92.93%  ens=93.86%  best_ens=95.63%@6
  ep  15  R(t)=0.608  a=95.51%  b=96.01%  ens=95.93%  best_ens=95.93%@15
  ep  20  R(t)=0.608  a=95.70%  b=95.96%  ens=96.16%  best_ens=96.28%@17
  ep  25  R(t)=0.608  a=95.28%  b=95.45%  ens=95.70%  best_ens=96.28%@17
  ep  30  R(t)=0.608  a=95.72%  b=96.11%  ens=96.01%  best_ens=96.28%@17
  ep  35  R(t)=0.608  a=95.08%  b=95.95%  ens=95.66%  best_ens=96.28%@17
  ep  40  R(t)=0.608  a=94.53%  b=94.49%  ens=94.68%  best_ens=96.28%@17
  ep  45  R(t)=0.608  a=93.62%  b=94.52%  ens=94.39%  best_ens=96.28%@17
  ep  50  R(t)=0.608  a=93.26%  b=92.81%  ens=93.29%  best_ens=96.28%@17
  ep  55  R(t)=0.608  a=94.64%  b=95.17%  ens=95.05%  best_ens=96.28%@17
  ep  60  R(t)=0.608  a=94.36%  b=94.85%  ens=94.74%  best_ens=96.28%@17
  ep  65  R(t)=0.608  a=94.25%  b=94.57%  ens=94.61%  best_ens=96.28%@17
  ep  70  R(t)=0.608  a=94.43%  b=94.64%  ens=94.71%  best_ens=96.28%@17
  ep  75  R(t)=0.608  a=93.49%  b=94.06%  ens=93.89%  best_ens=96.28%@17
  ep  80  R(t)=0.608  a=94.03%  b=94.19%  ens=94.28%  best_ens=96.28%@17
  ep  85  R(t)=0.608  a=93.78%  b=94.06%  ens=94.14%  best_ens=96.28%@17
  ep  90  R(t)=0.608  a=94.19%  b=94.47%  ens=94.53%  best_ens=96.28%@17
  ep  95  R(t)=0.608  a=94.16%  b=94.41%  ens=94.50%  best_ens=96.28%@17
  ep  99  R(t)=0.608  a=94.16%  b=94.45%  ens=94.51%  best_ens=96.28%@17
  DONE  best_ens=96.28%  saved fog_sev5__S__coteaching__noisy__seed1.json + persample.npz

# exit=0
