# 2026-07-16T14:48:51.344730 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant S --image-source clean --seed 1 --gpu 1
[MNIST CoT] impulse_noise_sev5__S__coteaching__clean__seed1  gpu=1
  N=27000  tau=49.05%
  ep   0  R(t)=1.000  a=62.20%  b=65.47%  ens=64.11%  best_ens=64.11%@0
  ep   5  R(t)=0.653  a=79.55%  b=80.04%  ens=79.95%  best_ens=79.95%@5
  ep  10  R(t)=0.509  a=67.30%  b=66.62%  ens=67.16%  best_ens=79.95%@5
  ep  15  R(t)=0.509  a=67.15%  b=67.45%  ens=67.44%  best_ens=79.95%@5
  ep  20  R(t)=0.509  a=68.72%  b=68.74%  ens=68.77%  best_ens=79.95%@5
  ep  25  R(t)=0.509  a=63.26%  b=64.68%  ens=64.11%  best_ens=79.95%@5
  ep  30  R(t)=0.509  a=65.04%  b=61.20%  ens=63.32%  best_ens=79.95%@5
  ep  35  R(t)=0.509  a=64.89%  b=63.17%  ens=64.12%  best_ens=79.95%@5
  ep  40  R(t)=0.509  a=60.73%  b=62.49%  ens=61.65%  best_ens=79.95%@5
  ep  45  R(t)=0.509  a=65.14%  b=64.82%  ens=65.11%  best_ens=79.95%@5
  ep  50  R(t)=0.509  a=66.57%  b=65.94%  ens=66.29%  best_ens=79.95%@5
  ep  55  R(t)=0.509  a=65.79%  b=65.94%  ens=65.94%  best_ens=79.95%@5
  ep  60  R(t)=0.509  a=61.43%  b=63.19%  ens=62.36%  best_ens=79.95%@5
  ep  65  R(t)=0.509  a=62.32%  b=61.62%  ens=62.08%  best_ens=79.95%@5
  ep  70  R(t)=0.509  a=65.42%  b=65.02%  ens=65.30%  best_ens=79.95%@5
  ep  75  R(t)=0.509  a=62.98%  b=63.11%  ens=63.18%  best_ens=79.95%@5
  ep  80  R(t)=0.509  a=64.48%  b=64.14%  ens=64.34%  best_ens=79.95%@5
  ep  85  R(t)=0.509  a=64.54%  b=64.12%  ens=64.38%  best_ens=79.95%@5
  ep  90  R(t)=0.509  a=63.75%  b=63.76%  ens=63.86%  best_ens=79.95%@5
  ep  95  R(t)=0.509  a=63.71%  b=63.75%  ens=63.76%  best_ens=79.95%@5
  ep  99  R(t)=0.509  a=63.94%  b=63.98%  ens=63.98%  best_ens=79.95%@5
  DONE  best_ens=79.95%  saved impulse_noise_sev5__S__coteaching__clean__seed1.json + persample.npz

# exit=0
