# 2026-07-16T21:19:12.636351 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant C --image-source clean --seed 1 --gpu 1
[MNIST CoT] canny_edges_sev1__C__coteaching__clean__seed1  gpu=1
  N=26107  tau=30.83%
  ep   0  R(t)=1.000  a=82.11%  b=81.11%  ens=81.87%  best_ens=81.87%@0
  ep   5  R(t)=0.782  a=85.68%  b=85.38%  ens=85.73%  best_ens=85.73%@5
  ep  10  R(t)=0.692  a=80.98%  b=81.80%  ens=81.59%  best_ens=85.73%@5
  ep  15  R(t)=0.692  a=79.60%  b=80.66%  ens=80.24%  best_ens=87.20%@12
  ep  20  R(t)=0.692  a=82.13%  b=81.92%  ens=82.12%  best_ens=87.20%@12
  ep  25  R(t)=0.692  a=84.30%  b=83.41%  ens=83.92%  best_ens=87.21%@21
  ep  30  R(t)=0.692  a=85.51%  b=86.24%  ens=86.14%  best_ens=87.21%@21
  ep  35  R(t)=0.692  a=86.44%  b=86.43%  ens=86.48%  best_ens=87.21%@21
  ep  40  R(t)=0.692  a=83.02%  b=83.40%  ens=83.20%  best_ens=88.30%@37
  ep  45  R(t)=0.692  a=85.40%  b=85.20%  ens=85.30%  best_ens=88.30%@37
  ep  50  R(t)=0.692  a=81.56%  b=83.01%  ens=82.23%  best_ens=88.30%@37
  ep  55  R(t)=0.692  a=82.62%  b=82.46%  ens=82.66%  best_ens=88.30%@37
  ep  60  R(t)=0.692  a=84.56%  b=85.03%  ens=84.93%  best_ens=88.30%@37
  ep  65  R(t)=0.692  a=85.33%  b=85.97%  ens=85.88%  best_ens=88.30%@37
  ep  70  R(t)=0.692  a=83.63%  b=82.10%  ens=83.10%  best_ens=88.30%@37
  ep  75  R(t)=0.692  a=84.04%  b=83.99%  ens=84.07%  best_ens=88.30%@37
  ep  80  R(t)=0.692  a=85.18%  b=85.53%  ens=85.45%  best_ens=88.30%@37
  ep  85  R(t)=0.692  a=83.72%  b=83.80%  ens=83.95%  best_ens=88.30%@37
  ep  90  R(t)=0.692  a=83.46%  b=82.89%  ens=83.33%  best_ens=88.30%@37
  ep  95  R(t)=0.692  a=83.60%  b=83.52%  ens=83.72%  best_ens=88.30%@37
  ep  99  R(t)=0.692  a=83.59%  b=83.47%  ens=83.71%  best_ens=88.30%@37
  DONE  best_ens=88.30%  saved canny_edges_sev1__C__coteaching__clean__seed1.json + persample.npz

# exit=0
